id,name,location,pincode,O_pos,O_neg,A_pos,A_neg,B_pos,B_neg,AB_pos,AB_neg,Total_Units,Temperature,Weather,Rain_mm,Size,Altitude
190,Dr Raos Maternity Hospital,"12.985042, 77.546048",560079,11,0,5,0,11,0,0,0,27,30.7,Partly cloudy,0.0,Medium,894.0
191,Shiva Kumaraswamy Building,"12.971705, 77.549372",Unknown,51,0,24,0,42,0,12,0,129,30.8,Partly cloudy,0.0,Large,875.0
192,Dr Solankis Eye Hospital,"12.995163, 77.573814",560020,0,18,0,4,0,35,5,86,148,31.0,Partly cloudy,0.0,Small,903.0
193,Sri Sanjeevini Cold Laser Therapy,"13.005392, 77.571335",560003,0,0,0,0,13,0,0,0,13,30.8,Partly cloudy,0.0,Small,928.0
194,St. Martha's Heart Centre,"12.970544, 77.583477",560001,156,104,19,185,30,349,231,74,1148,30.9,Partly cloudy,0.0,Big,923.0
195,Desai Nursing Home,"12.986374, 77.579315",560001,167,4,14,5,24,6,121,319,660,30.9,Partly cloudy,0.0,Medium,919.0
196,Fortis Hospital,"12.988165, 77.554818",560010,31,23,38,4,29,2,4,0,131,30.6,Partly cloudy,0.0,Big,910.0
197,Ayushman Ayurvedic therapy centre,"12.994616, 77.602387",Unknown,120,233,180,236,3,362,197,270,1601,30.8,Partly cloudy,0.0,Small,933.0
198,Pristine Hospital,"12.998423, 77.540389",560010,63,96,32,21,47,120,7,68,454,30.5,Partly cloudy,0.0,Large,924.0
199,Arogya Kendra,"12.973589, 77.544328",560040,30,0,16,0,30,0,0,0,76,30.8,Partly cloudy,0.0,Big,882.0
200,The Family Doctor Malleswaram,"13.002969, 77.552667",560010,14,0,8,12,15,19,0,0,68,30.6,Partly cloudy,0.0,Medium,910.0
201,V Care Medical Systems P Ltd,"12.978705, 77.540358",Unknown,41,0,21,0,21,16,5,0,104,30.8,Partly cloudy,0.0,Big,882.0
202,Saikrupa Hospital For Women's and Surgical Centre,"12.969166, 77.535192",560040,52,0,28,0,46,0,6,0,132,30.8,Partly cloudy,0.0,Large,881.0
203,Cutis Academy of Cutaneous Sciences,"12.976812, 77.544909",560040,30,0,14,0,24,0,0,0,68,30.8,Partly cloudy,0.0,Big,872.0
204,Vijayanagar Global Hospital,"12.971790, 77.537286",560040,51,0,24,0,45,0,10,0,130,30.7,Partly cloudy,0.0,Large,891.0
205,The Homoeo World,"12.994720, 77.571588",560003,35,3,22,0,31,13,19,0,123,31.0,Partly cloudy,0.0,Big,908.0
206,Tamara Hospital & IVF Centre,"13.004450, 77.553076",560010,611,33,32,29,56,44,5,4,814,30.5,Partly cloudy,0.0,Large,924.0
207,ChanRe Rheumatology and Immunology Center and Research,"12.995573, 77.535421",Unknown,35,19,20,0,28,0,3,10,115,30.6,Partly cloudy,0.0,Big,912.0
208,"Manasa Hospital, Vijayanagar","12.970946, 77.545106",560040,34,11,20,67,31,111,3,38,315,30.8,Partly cloudy,0.0,Big,880.0
209,Cauvery Orthopaedic Centre,"12.998489, 77.550422",560010,23,0,10,0,19,0,1,0,53,30.5,Partly cloudy,0.0,Moderate,925.0
210,"Nethradhama Superspeciality Eye Hospital, Rajajinagar","12.997613, 77.550942",560021,33,0,22,0,28,113,3,0,199,30.5,Partly cloudy,0.0,Big,919.0
211,Hosmat Hospital,"13.008000, 77.583748",Unknown,50,9,28,0,44,0,2,0,133,30.7,Partly cloudy,0.0,Large,946.0
212,Altius Hospital,"12.984954, 77.556922",560010,55,0,51,40,44,6,7,84,287,30.7,Partly cloudy,0.0,Large,896.0
213,Bangalore Diabetes Hospital,"12.991841, 77.596853",Unknown,33,51,17,0,29,14,210,0,354,30.9,Partly cloudy,0.0,Big,918.0
214,Vathsalya Speciality Hospital,"12.993975, 77.539180",560079,60,28,39,0,45,19,6,104,301,30.5,Partly cloudy,0.0,Large,919.0
215,Maruthi Hospital,"12.967761, 77.541328",560072,44,0,19,79,29,0,5,66,242,30.8,Partly cloudy,0.0,Big,876.0
216,The Eye Surgical Centre,"12.982195, 77.549314",560010,23,253,14,404,3,104,0,358,1159,30.7,Partly cloudy,0.0,Small,885.0
217,Dr. Agrawal's Eye Hospital,"12.999898, 77.550112",560004,17,72,0,142,57,50,22,160,520,30.5,Partly cloudy,0.0,Small,923.0
218,Ashok Hospital,"12.994891, 77.534798",560079,309,0,31,0,43,0,4,0,387,30.5,Partly cloudy,0.0,Large,915.0
219,Dr. B. Venkatasubbarao Memorial Hospital,"12.998198, 77.568151",560003,55,26,38,21,46,32,34,127,379,30.9,Partly cloudy,0.0,Large,923.0
220,Jupiter Hospital And Institute Of Vascular Surgery,"12.999846, 77.566365",560003,259,114,125,218,162,207,112,330,1527,30.8,Partly cloudy,0.0,Large,932.0
221,Radha Maternity and Surgical Hospital,"12.969044, 77.568854",560053,327,276,969,271,260,269,7,184,2563,31.0,Partly cloudy,0.0,Large,903.0
222,"Hitech Kidney Stone Hospital, Bengaluru Urban","12.987810, 77.580983",560001,194,178,59,466,87,193,160,145,1482,30.9,Partly cloudy,0.0,Big,924.0
223,Sri Dhavantari Ayurveda Hoapital,"12.982219, 77.559937",560010,65,207,43,122,71,174,28,114,824,30.7,Partly cloudy,0.0,Large,895.0
224,Vaidyam Hospital,"12.984551, 77.552832",560040,53,0,21,0,41,0,2,0,117,30.6,Partly cloudy,0.0,Large,910.0
225,Suresh Hospital - Bangalore,"12.989774, 77.555101",560010,51,0,32,42,47,40,6,7,225,30.6,Partly cloudy,0.0,Large,908.0
226,Lakshmi Maternity Home,"13.005823, 77.569451",560055,18,34,7,99,13,151,0,186,508,30.8,Partly cloudy,0.0,Medium,928.0
227,Manjunatha Maternity Home and Surgical Centre,"13.007727, 77.569699",560055,17,109,8,77,16,319,25,20,591,30.8,Partly cloudy,0.0,Medium,937.0
228,Samprathi Eye Hospital And Squint Centre,"12.993281, 77.580691",560020,5,0,16,0,0,0,47,26,94,30.9,Partly cloudy,0.0,Small,921.0
229,Shankara Nethralaya Eye Hospital,"13.008995, 77.540619",560096,100,95,21,213,95,74,109,103,810,30.6,Partly cloudy,0.0,Small,903.0
230,ChanRe Rheumatology and Immunology Center and Research,"12.999208, 77.550269",560010,34,162,22,199,30,185,6,168,806,30.5,Partly cloudy,0.0,Big,923.0
231,Malleswaram Eye Day Care Hospital - Bengalore,"12.996668, 77.571604",560003,0,119,1,35,0,0,0,15,170,30.9,Partly cloudy,0.0,Small,917.0
232,Mahaveer Eye Hospital Private Limited,"12.993355, 77.572959",560020,1,1,1,59,19,54,25,26,186,31.0,Partly cloudy,0.0,Small,903.0
233,Bilva Hospital,"12.998983, 77.580202",560003,110,81,29,60,119,174,173,35,781,30.9,Partly cloudy,0.0,Large,919.0
234,"Anugraha Hospital, Vijayanagar","12.976565, 77.545588",560079,64,122,22,98,30,247,3,173,759,30.8,Partly cloudy,0.0,Big,871.0
235,Amar Hospital,"12.971182, 77.578123",560053,235,112,43,340,151,155,11,111,1158,30.9,Partly cloudy,0.0,Large,917.0
236,"Supriya Hospital, Bengaluru Urban","12.992904, 77.558802",560021,50,0,40,0,50,0,4,0,144,30.7,Partly cloudy,0.0,Large,894.0
237,Sidvin Hospital Pvt Ltd,"12.982442, 77.549368",560010,75,199,54,182,47,236,10,209,1012,30.7,Partly cloudy,0.0,Large,885.0
238,Place Guttahalli Maternity Home,"12.998824, 77.581989",560003,18,0,22,21,26,0,2,0,89,30.9,Partly cloudy,0.0,Medium,915.0
239,Namratha Nursing And Maternity Home,"13.004575, 77.543273",560086,18,1,7,0,25,27,1,13,92,30.1,Partly cloudy,0.0,Medium,903.0
240,Spine Care And Ortho Care Hospital,"12.974513, 77.549388",560086,34,0,16,0,29,0,0,0,79,30.3,Partly cloudy,0.0,Big,880.0
241,Tanmay Hospital,"12.973376, 77.547403",560040,51,0,30,0,43,0,9,0,133,30.4,Partly cloudy,0.0,Large,868.0
242,Vijayanagar Hospital,"12.971629, 77.537197",560040,55,20,28,0,42,0,5,0,150,30.2,Partly cloudy,0.0,Large,892.0
243,"Punarjyoti Eye Hospital, Bengaluru Urban","12.968530, 77.584396",560002,62,98,7,108,57,23,194,284,833,30.5,Partly cloudy,0.0,Small,919.0
244,Sreeniwasa Hospital,"12.973271, 77.572536",560053,744,250,489,9,838,0,6,0,2336,30.6,Partly cloudy,0.0,Large,905.0
245,Magadi Road Maternity Home,"12.974125, 77.561823",560023,129,189,13,152,16,213,2,50,764,30.2,Partly cloudy,0.0,Medium,887.0
246,Pristine Hospital,"12.998001, 77.543278",560086,54,41,31,21,63,23,7,1,241,29.9,Partly cloudy,0.0,Large,936.0
247,"Punya Hospital, Bengaluru Urban","12.986216, 77.537485",560079,49,0,27,0,59,0,2,0,137,30.1,Partly cloudy,0.0,Large,908.0
248,Sri Ranga Arogyadhama,"12.998624, 77.542782",560086,50,0,21,0,44,0,3,0,118,29.9,Partly cloudy,0.0,Large,931.0
249,Rotary Eye Hospital (A Unit Of Bangalore North Rotary Trust),"12.981723, 77.554936",560010,80,202,33,239,63,213,11,119,960,30.2,Partly cloudy,0.0,Large,896.0
250,Gurukripa Hospital and Health Care Centre,"13.000180, 77.546115",560086,53,20,51,123,45,56,33,175,556,30.0,Partly cloudy,0.0,Large,921.0
251,"Madhu Hospital, Bengaluru Urban","12.978316, 77.542960",560079,54,18,31,18,62,17,7,67,274,30.3,Partly cloudy,0.0,Large,884.0
252,Padmashree Diagnostics,"12.974598, 77.543679",Unknown,34,0,22,0,32,0,1,0,89,30.3,Partly cloudy,0.0,Big,881.0
253,K.C. General Hospital,"12.993382, 77.569417",560003,784,59,34,76,45,40,7,49,1094,30.5,Partly cloudy,0.0,Large,910.0
254,Yashas Neurocare,"12.985399, 77.545402",Unknown,55,0,19,13,26,0,24,80,217,30.2,Partly cloudy,0.0,Big,889.0
255,Focus Diagnostic Center,"12.987063, 77.549951",Unknown,35,0,18,7,26,0,0,0,86,30.1,Partly cloudy,0.0,Big,905.0
256,Kamadhenu Hospital,"12.975501, 77.534972",560040,53,0,53,42,46,0,6,49,249,30.2,Partly cloudy,0.0,Large,895.0
257,"Goverment Hospital, Hosahalli","12.974493, 77.534205",560040,52,0,25,0,43,0,3,0,123,30.2,Partly cloudy,0.0,Large,892.0
258,Sriprasad Ayurveda,"12.973409, 77.546281",560040,1,196,2,189,1,107,1,87,584,30.4,Partly cloudy,0.0,Small,868.0
259,Vidya Eye Hospital,"12.970743, 77.537768",560040,0,0,0,0,0,0,0,0,0,30.2,Partly cloudy,0.0,Small,889.0
260,G.R. Hospital,"12.980230, 77.554882",560010,49,0,30,0,44,0,4,0,127,30.3,Partly cloudy,0.0,Large,882.0
261,Sneha Horizon Hospital,"12.975430, 77.535800",560040,51,0,33,0,59,0,10,0,153,30.2,Partly cloudy,0.0,Large,892.0
262,Kangroo Hospital,"12.974339, 77.542325",560040,33,0,18,0,27,0,0,0,78,30.3,Partly cloudy,0.0,Big,883.0
263,Abhinav Hospital,"12.975749, 77.553782",560023,73,0,26,12,42,0,4,0,157,30.4,Partly cloudy,0.0,Large,867.0
264,Suhusannidhi Hospital,"12.969102, 77.534951",560040,408,0,30,42,47,18,6,12,563,30.3,Partly cloudy,0.0,Large,877.0
265,Sai Ortho and Dental Centre,"12.969819, 77.536080",560040,33,0,17,0,18,0,2,0,70,30.2,Partly cloudy,0.0,Big,885.0
266,Ammashrees Hospital,"12.979432, 77.544164",560010,53,64,30,20,56,42,10,12,287,30.3,Partly cloudy,0.0,Large,884.0
267,Bengaluru Child Neurology and Rehabilitaion Centre,"12.973557, 77.546125",560040,31,0,15,5,24,0,0,0,75,30.4,Partly cloudy,0.0,Big,868.0
268,Dr. Nothesh Child Specialist,"12.975423, 77.540659",560040,37,235,18,203,0,120,0,143,756,30.2,Partly cloudy,0.0,Small,885.0
269,Manavarthapet Pregnancy Hospital,"12.970255, 77.573457",560053,13,0,5,0,14,0,0,0,32,30.6,Partly cloudy,0.0,Medium,906.0
270,ESI Hospital,"12.972126, 77.573351",560053,53,74,30,19,67,13,9,1,266,30.6,Partly cloudy,0.0,Large,908.0
271,Nayanalaya Super Speciality Eye Care Centre,"13.006795, 77.571159",Unknown,0,3,3,0,2,0,12,0,20,30.4,Partly cloudy,0.0,Small,932.0
272,Srinidhi Health Centre,"13.005821, 77.572575",Unknown,14,0,7,5,13,0,0,0,39,30.5,Partly cloudy,0.0,Medium,919.0
273,Orthopedic & Eye Care Center,"13.005493, 77.571952",Unknown,30,0,18,0,27,0,5,0,80,30.5,Partly cloudy,0.0,Big,924.0
274,ESI Hospital,"13.004596, 77.554003",Unknown,251,307,169,178,144,181,110,253,1593,30.0,Partly cloudy,0.0,Large,922.0
275,Ramani Orthopaedic Hospital,"13.004431, 77.578524",Unknown,211,0,32,0,464,0,96,1,804,30.4,Partly cloudy,0.0,Large,931.0
276,Atharva Ayurdhama Ayurvedic Hospital,"13.004314, 77.547749",Unknown,66,95,68,0,48,64,8,20,369,30.0,Partly cloudy,0.0,Large,922.0
277,RICH CARE HOMEOPATHY,"13.001546, 77.572168",Unknown,0,0,0,0,0,0,0,0,0,30.5,Partly cloudy,0.0,Small,916.0
278,Poornayu Ayurveda Hospital,"12.998238, 77.551173",Unknown,37,0,22,0,27,13,0,0,99,30.0,Partly cloudy,0.0,Big,919.0
279,Appllo Diagnostic,"12.998106, 77.600813",Unknown,35,67,191,0,67,0,4,227,591,30.4,Partly cloudy,0.0,Big,935.0
280,Supra Diagnostics Spine Care And Ortho Care Hospital,"12.997000, 77.573004",Unknown,32,0,10,0,20,0,1,0,63,30.5,Partly cloudy,0.0,Big,911.0
281,K.C.General Hospital,"12.996024, 77.569371",Unknown,158,493,200,142,67,302,298,144,1804,30.5,Partly cloudy,0.0,Large,918.0
282,ESIC Model Hospital,"12.991692, 77.553901",Unknown,51,93,31,114,69,243,8,124,733,30.1,Partly cloudy,0.0,Large,904.0
283,Government Hospital,"12.990505, 77.556635",Unknown,51,0,29,13,40,0,4,0,137,30.1,Partly cloudy,0.0,Large,907.0
284,Esi Hospital Bangalore,"12.990498, 77.553092",Unknown,50,0,26,0,41,0,4,0,121,30.1,Partly cloudy,0.0,Large,911.0
285,Government Hospital,"12.984496, 77.555180",Unknown,53,0,30,1,46,0,6,1,137,30.2,Partly cloudy,0.0,Large,899.0
286,Janani Clinics,"12.991850, 77.543783",560079,8,0,2,0,8,0,0,0,18,30.1,Partly cloudy,0.0,Medium,903.0
287,PMC Hospital,"13.006505, 77.554501",Unknown,67,85,55,190,128,82,10,326,943,30.0,Partly cloudy,0.0,Large,920.0
288,New Varalakshmi Hospital,"12.998838, 77.555096",Unknown,51,0,24,0,39,12,7,0,133,30.1,Partly cloudy,0.0,Large,901.0
289,Apollo Cradle Children's Hospital,"13.002768, 77.553629",Unknown,70,213,30,81,48,22,84,245,793,30.1,Partly cloudy,0.0,Large,909.0
290,Netradhama,"12.997430, 77.551029",Unknown,50,329,20,181,30,309,3,166,1088,30.0,Partly cloudy,0.0,Big,917.0
291,Hiremath Hospital,"12.975435, 77.535897",Unknown,52,0,31,0,44,0,7,0,134,30.2,Partly cloudy,0.0,Large,893.0
292,Jindal Charitable Hospital,"12.993725, 77.553972",Unknown,52,9,30,12,57,0,9,0,169,30.1,Partly cloudy,0.0,Large,905.0
